Name;Differential Expression Adjusted p-value;Differential Expression Log2 Ratio;Differential Expression p-value;gene;locus_tag
hypothetical protein CDS;0,049087635;0,678476571;0,003053978;;YGR273C
PAC10 CDS;0,049087635;-0,490155193;0,003058677;PAC10;YGR078C
NDE1 CDS;0,049087635;-0,593760889;0,003055944;NDE1;YMR145C
ARL3 CDS;0,049162808;0,47060246;0,003071641;ARL3;YPL051W
HSL1 CDS;0,049174012;-0,505019464;0,003080622;HSL1;YKL101W
hypothetical protein CDS;0,050084077;-0,738294909;0,00314607;;YHL044W
hypothetical protein CDS;0,051071369;0,61361267;0,003225289;;YLR194C
FOL3 CDS;0,051071369;0,454510838;0,003216863;FOL3;YMR113W
RPS11B CDS;0,05134392;-0,547267578;0,003251148;RPS11B;YBR048W
hypothetical protein CDS;0,051560534;0,453856315;0,003273547;;YDR261C-D
STF2 CDS;0,05257302;0,506004328;0,003346683;STF2;YGR008C
FAS2 CDS;0,052921569;0,493480301;0,003377783;FAS2;YPL231W
hypothetical protein CDS;0,053381041;-0,486311308;0,003422579;;YGR266W
RPL12A CDS;0,053381041;-0,562876125;0,003425089;RPL12A;YEL054C
THI72 CDS;0,053779178;0,502226806;0,003459691;THI72;YOR192C
ICS2 CDS;0,054331751;0,484985344;0,00350904;ICS2;YBR157C
succinate dehydrogenase SDH1b CDS;0,054331751;-0,587377566;0,003513539;;YJL045W
ATP19 CDS;0,055046566;-0,715568641;0,003569035;ATP19;YOL077W-A
IRS4 CDS;0,055170656;0,516192967;0,003611063;IRS4;YKR019C
hypothetical protein CDS;0,055170656;0,489855967;0,003598667;;YPL168W
hypothetical protein CDS;0,055170656;-0,497464793;0,003604589;;YOL029C
hypothetical protein CDS;0,055170656;-0,520513633;0,003622575;;YER053C-A
YHM2 CDS;0,055170656;-0,690980334;0,003623536;YHM2;YMR241W
EAF7 CDS;0,055172786;0,463584609;0,003632967;EAF7;YNL136W
GPM3 CDS;0,055382068;0,511603306;0,003661666;GPM3;YOL056W
RPL26A CDS;0,055382068;-0,533745733;0,003674728;RPL26A;YLR344W
RPS18B CDS;0,055382068;-0,721030249;0,003671281;RPS18B;YML026C
hypothetical protein CDS;0,056642959;-0,613492832;0,00376793;;YMR321C
PKR1 CDS;0,057066997;-0,644297598;0,003805748;PKR1;YMR123W
RFA3 CDS;0,05729249;-0,537056288;0,003836405;RFA3;YJL173C
MDM20 CDS;0,05729249;-0,653696576;0,003840083;MDM20;YOL076W
hypothetical protein CDS;0,057639456;0,434043207;0,003881671;;YFR045W
RPL31B CDS;0,057639456;-0,52193871;0,003882752;RPL31B;YLR406C
RPL11B CDS;0,0580886;-0,653505166;0,00392279;RPL11B;YGR085C
LOT5 CDS;0,058318812;-0,449598707;0,003951164;LOT5;YKL183W
RPL5 CDS;0,058318812;-0,493971212;0,003957979;RPL5;YPL131W
LSC1 CDS;0,058700653;-0,526812054;0,00399378;LSC1;YOR142W
hypothetical protein CDS;0,059326392;0,555044545;0,004046344;;YLR456W
hypothetical protein CDS;0,059393765;0,605803402;0,004066199;;YGL138C
GPM1 CDS;0,059393765;0,538835916;0,004074967;GPM1;YKL152C
ARG5,6 CDS;0,059393765;0,49011092;0,004080946;ARG5,6;YER069W
SAM4 CDS;0,059664476;-0,682933609;0,004109594;SAM4;YPL273W
hypothetical protein CDS;0,06002898;-0,647034336;0,00414481;;YDR524W-C
hypothetical protein CDS;0,060246936;0,462127285;0,004180151;;YML040W
hypothetical protein CDS;0,060246936;0,445953969;0,004179545;;YGR149W
SDH2 CDS;0,061991107;-0,421320855;0,004311608;SDH2;YLL041C
ATO2 CDS;0,062065634;0,6116161;0,004327244;ATO2;YNR002C
RPS20 CDS;0,062116748;-0,636608723;0,004341268;RPS20;YHL015W
RPS14A CDS;0,062361623;-0,543898557;0,004368884;RPS14A;YCR031C
HCM1 CDS;0,063016583;-0,486911399;0,004425381;HCM1;YCR065W
OYE2 CDS;0,063264055;0,613371606;0,004464069;OYE2;YHR179W
IMP2' CDS;0,063264055;0,59023523;0,004459275;IMP2';YIL154C
YPS1 CDS;0,063343414;0,605361662;0,004480336;YPS1;YLR120C
ATP7 CDS;0,063753497;-0,524511857;0,004520078;ATP7;YKL016C
hypothetical protein CDS;0,064109466;-0,429630389;0,004588219;;YKL096C-B
AAC1 CDS;0,064109466;-0,447035981;0,004597921;AAC1;YMR056C
RPS8B CDS;0,064109466;-0,570697584;0,004588441;RPS8B;YER102W
RPL27A CDS;0,064109466;-0,715377743;0,004586237;RPL27A;YHR010W
CTF3 CDS;0,064811785;0,418896977;0,004691519;CTF3;YLR381W
CWP2 CDS;0,064811785;-0,407908421;0,004665009;CWP2;YKL096W-A
MDG1 CDS;0,064811785;-0,412605661;0,004693342;MDG1;YNL173C
RPS1B CDS;0,064811785;-0,651360446;0,004686703;RPS1B;YML063W
AGX1 CDS;0,065678752;-0,511801331;0,004767185;AGX1;YFL030W
SRO77 CDS;0,065695115;0,452909278;0,004792355;SRO77;YBL106C
THI20 CDS;0,065695115;0,440316503;0,004801563;THI20;YOL055C
GCV1 CDS;0,065695115;-0,465059031;0,004780954;GCV1;YDR019C
MFA2 CDS;0,066999705;-0,587231674;0,004908197;MFA2;YNL145W
hypothetical protein CDS;0,067298914;0,455501687;0,004941449;;YLR227W-A
SPT14 CDS;0,067662717;0,424627193;0,004979557;SPT14;YPL175W
ECM29 CDS;0,068185772;-0,521407591;0,005041016;ECM29;YHL030W
FCJ1 CDS;0,068185772;-0,612861341;0,005037947;FCJ1;YKR016W
URA2 CDS;0,068545331;0,475132831;0,0050855;URA2;YJL130C
ATP14 CDS;0,068545331;-0,600093626;0,005090686;ATP14;YLR295C
hypothetical protein CDS;0,069121365;0,462318952;0,005145107;;YJR026W
RMD6 CDS;0,069670192;0,474233951;0,005204765;RMD6;YEL072W
hypothetical protein CDS;0,069670192;0,444469575;0,005209425;;YKL071W
RPL21A CDS;0,069709236;-0,585242084;0,005224084;RPL21A;YBR191W
ALP1 CDS;0,07004199;-0,562903943;0,005272612;ALP1;YNL270C
ATP20 CDS;0,07004199;-0,651930104;0,005264932;ATP20;YPR020W
ACA1 CDS;0,070247039;0,460292995;0,005299878;ACA1;YER045C
ATP17 CDS;0,070495287;-0,670866466;0,005330479;ATP17;YDR377W
hypothetical protein CDS;0,07124166;-0,46297735;0,005409527;;YIL169C
RPS8A CDS;0,07124166;-0,51924301;0,005410911;RPS8A;YBL072C
ALD6 CDS;0,071938879;0,464969401;0,005475981;ALD6;YPL061W
POL31 CDS;0,072450127;-0,432008284;0,005527098;POL31;YJR006W
YHB1 CDS;0,072762199;-0,658689336;0,005563159;YHB1;YGR234W
FMT1 CDS;0,072767494;-0,525078909;0,005588073;FMT1;YBL013W
RPL38 CDS;0,072767494;-0,615968338;0,005586304;RPL38;YLR325C
hypothetical protein CDS;0,072837284;0,462700976;0,005605699;;YGR027W-A
MUP3 CDS;0,073234479;0,435620495;0,005654968;MUP3;YHL036W
GCV3 CDS;0,073234479;-0,421868395;0,005660934;GCV3;YAL044C
hypothetical protein CDS;0,074726542;-0,564423;0,005788853;;YBR221W-A
COX7 CDS;0,075013877;-0,65480901;0,005823745;COX7;YMR256C
PST1 CDS;0,075401478;0,557880275;0,005866535;PST1;YDR055W
MPH3 CDS;0,075588548;0,478797342;0,005916459;MPH3;YJR160C
GIM3 CDS;0,075588548;-0,643462665;0,005906911;GIM3;YNL153C
RPS17B CDS;0,075588548;-0,691811712;0,005919278;RPS17B;YDR447C
PCL5 CDS;0,075736262;0,474595849;0,005956355;PCL5;YHR071W
hypothetical protein CDS;0,075736262;0,45054969;0,005943639;;YDR261C-C
VBA4 CDS;0,075794158;-0,43546633;0,005974067;VBA4;YDR119W
RPS16B CDS;0,075794158;-0,593931451;0,005986437;RPS16B;YDL083C
CRC1 CDS;0,075808324;-0,422624885;0,006000322;CRC1;YOR100C
NRG2 CDS;0,077015783;0,632635698;0,006108864;NRG2;YBR066C
NAT5 CDS;0,077141963;-0,63112533;0,006131864;NAT5;YOR253W
MMF1 CDS;0,077989605;-0,396054927;0,006212375;MMF1;YIL051C
hypothetical protein CDS;0,07826086;0,417610014;0,006247162;;YPR158C-D
hypothetical protein CDS;0,078292987;0,427128646;0,006282065;;YPL278C
AAT2 CDS;0,078292987;-0,395580399;0,006307944;AAT2;YLR027C
RPL24A CDS;0,078292987;-0,50943834;0,006306655;RPL24A;YGL031C
MYO4 CDS;0,078292987;-0,534437621;0,006313195;MYO4;YAL029C
RPL27B CDS;0,078292987;-0,634581577;0,006315652;RPL27B;YDR471W
RPS0A CDS;0,079645014;-0,457707393;0,006438128;RPS0A;YGR214W
hypothetical protein CDS;0,07972342;0,432732629;0,006484744;;YPR137C-A
OM14 CDS;0,07972342;-0,423484903;0,006466817;OM14;YBR230C
RPS5 CDS;0,07972342;-0,541026178;0,006479002;RPS5;YJR123W
hypothetical protein CDS;0,080234406;0,484816946;0,00653982;;YDL186W
GDH1 CDS;0,080586499;0,597686044;0,00658209;GDH1;YOR375C
ZPR1 CDS;0,080862972;0,452212275;0,00661829;ZPR1;YGR211W
RRD1 CDS;0,081062264;0,486153307;0,006648252;RRD1;YIL153W
RPS28B CDS;0,081758691;-0,562338621;0,006719138;RPS28B;YLR264W
hypothetical protein CDS;0,082263825;-0,41058462;0,006774505;;YPR063C
hypothetical protein CDS;0,082565175;0,420037274;0,006841035;;YDR365W-A
RPS1A CDS;0,082565175;-0,539467552;0,006816408;RPS1A;YLR441C
RPL42B CDS;0,082565175;-0,60954538;0,006833237;RPL42B;YHR141C
PCL2 CDS;0,082673901;-0,45814122;0,006877889;PCL2;YDL127W
OXA1 CDS;0,082673901;-0,492882762;0,006868496;OXA1;YER154W
HAP4 CDS;0,08279784;-0,574566594;0,006902144;HAP4;YKL109W
RPL7A CDS;0,083517831;-0,548437655;0,006976228;RPL7A;YGL076C
hypothetical protein CDS;0,084121186;0,415701247;0,007040793;;YDR186C
RPS25A CDS;0,084598774;-0,579401317;0,007095013;RPS25A;YGR027C
ARE1 CDS;0,084685338;0,487860391;0,007186967;ARE1;YCR048W
GPD2 CDS;0,084685338;0,436981779;0,007161927;GPD2;YOL059W
AAD6 CDS;0,084685338;0,422507931;0,007173448;AAD6;YFL056C
SBP1 CDS;0,084685338;-0,424790385;0,007164612;SBP1;YHL034C
LSM6 CDS;0,084685338;-0,518013225;0,007187843;LSM6;YDR378C
RPL41A CDS;0,084685338;-0,632538709;0,007173104;RPL41A;YDL184C
hypothetical protein CDS;0,084847887;0,486784641;0,007222095;;YNL019C
ETR1 CDS;0,084847887;-0,504756037;0,007231668;ETR1;YBR026C
RPL26B CDS;0,084847887;-0,614338836;0,007258795;RPL26B;YGR034W
PMA2 CDS;0,084847887;-0,625202747;0,007250003;PMA2;YPL036W
SFH5 CDS;0,085409463;-0,40701462;0,007321222;SFH5;YJL145W
hypothetical protein CDS;0,085431737;0,583948761;0,007337519;;YGL015C
REG2 CDS;0,085914063;0,50783845;0,007393413;REG2;YBR050C
RPS18A CDS;0,086769733;-0,610732184;0,007481661;RPS18A;YDR450W
hypothetical protein CDS;0,086770186;0,431363594;0,007499285;;YIR042C
XYL2 CDS;0,086770186;-0,527393451;0,007510926;XYL2;YLR070C
RIM8 CDS;0,087216195;0,468310447;0,007578908;RIM8;YGL045W
HFD1 CDS;0,087216195;-0,500306112;0,007574249;HFD1;YMR110C
hypothetical protein CDS;0,087367656;-0,582227984;0,007606783;;YGL101W
MTR2 CDS;0,088038578;0,464900578;0,007680024;MTR2;YKL186C
DOG2 CDS;0,088057824;0,595019188;0,007696533;DOG2;YHR043C
hypothetical protein CDS;0,088590118;-0,667426766;0,007757976;;YBR096W
SSA4 CDS;0,090066268;0,431616592;0,007902413;SSA4;YER103W
hypothetical protein CDS;0,090079267;0,439185519;0,007918723;;YER137C
MCM3 CDS;0,09017453;-0,392035557;0,007942283;MCM3;YEL032W
RPS29B CDS;0,090672887;-0,52789008;0,008001447;RPS29B;YDL061C
hypothetical protein CDS;0,090811794;-0,503780991;0,008028998;;YER152C
COG7 CDS;0,090897718;0,399934167;0,008051903;COG7;YGL005C
RPL43A CDS;0,091252303;-0,572427298;0,00809868;RPL43A;YPR043W
PDR10 CDS;0,092237294;-0,561095451;0,008201632;PDR10;YOR328W
MTC1 CDS;0,092329956;-0,398236015;0,008238336;MTC1;YJL123C
LOA1 CDS;0,092329956;-0,498285652;0,00824899;LOA1;YPR139C
ADH6 CDS;0,092329956;-0,572934057;0,008256518;ADH6;YMR318C
ERP5 CDS;0,092398568;-0,406100402;0,008278215;ERP5;YHR110W
RPS11A CDS;0,092765193;-0,440371741;0,008344145;RPS11A;YDR025W
PSK2 CDS;0,092765193;-0,454922659;0,008356687;PSK2;YOL045W
DAL3 CDS;0,092765193;-0,636654282;0,008357928;DAL3;YIR032C
RPL24B CDS;0,094120321;-0,493257328;0,008495873;RPL24B;YGR148C
hypothetical protein CDS;0,094205961;-0,568327797;0,008519468;;YCL048W-A
hypothetical protein CDS;0,095685143;-0,42464651;0,008669351;;YGR026W
JEN1 CDS;0,095739962;0,405382767;0,008706564;JEN1;YKL217W
RPL36B CDS;0,095739962;-0,444723371;0,008691413;RPL36B;YPL249C-A
ACC1 CDS;0,096597856;0,425586885;0,008800849;ACC1;YNR016C
RPS2 CDS;0,096942743;-0,514071922;0,008849129;RPS2;YGL123W
RPS21B CDS;0,096942743;-0,567653354;0,008864922;RPS21B;YJL136C
ERG13 CDS;0,097020796;-0,378676147;0,008888399;ERG13;YML126C
LAP2 CDS;0,097805314;-0,383407652;0,008976742;LAP2;YNL045W
RMA1 CDS;0,098639719;0,467900551;0,009102541;RMA1;YKL132C
hypothetical protein CDS;0,098639719;0,415818517;0,009119772;;YDR365W-B
MDH1 CDS;0,098639719;-0,378067662;0,009088382;MDH1;YKL085W
RIM1 CDS;0,098639719;-0,429835593;0,009104351;RIM1;YCR028C-A
RPL23B CDS;0,099217105;-0,629517278;0,009189863;RPL23B;YER117W
RPS31 CDS;0,099627988;-0,635978047;0,009244699;RPS31;YLR167W
INM1 CDS;0,099740395;0,431637823;0,009295427;INM1;YHR046C
DBF2 CDS;0,099740395;0,414882301;0,009321626;DBF2;YGR092W
PEX21 CDS;0,099740395;-0,42759098;0,009322317;PEX21;YGR239C
STE6 CDS;0,099740395;-0,549598128;0,009303361;STE6;YKL209C
RNR4 CDS;0,10033995;0,500354224;0,009395253;RNR4;YGR180C
BIO3 CDS;0,100695356;0,40586843;0,009464105;BIO3;YNR058W
hypothetical protein CDS;0,100695356;-0,617807888;0,009474225;;YPL152W-A
hypothetical protein CDS;0,100695356;-0,618803089;0,009479405;;YOR316C-A
TSC13 CDS;0,100984021;-0,4202573;0,009540592;TSC13;YDL015C
RPS21A CDS;0,100984021;-0,589004102;0,009538637;RPS21A;YKR057W
SUR4 CDS;0,101208007;-0,600614783;0,009578798;SUR4;YLR372W
RPL1B CDS;0,104074097;-0,544056315;0,009867584;RPL1B;YGL135W
SNQ2 CDS;0,10474783;0,434687977;0,009966744;SNQ2;YDR011W
RPL3 CDS;0,10474783;-0,525117448;0,009957521;RPL3;YOR063W
SVF1 CDS;0,105473977;0,440160195;0,010140906;SVF1;YDR346C
LSB1 CDS;0,105473977;0,435446385;0,010106674;LSB1;YGR136W
RPL8B CDS;0,105473977;-0,401624541;0,010142412;RPL8B;YLL045C
SBH2 CDS;0,105473977;-0,447430447;0,010130379;SBH2;YER019C-A
RPL12B CDS;0,105473977;-0,50242701;0,010056172;RPL12B;YDR418W
RPS6A CDS;0,105473977;-0,547613321;0,010104544;RPS6A;YPL090C
NOP16 CDS;0,105566539;0,3877491;0,010169091;NOP16;YER002W
DPB2 CDS;0,106186483;-0,522352836;0,010246692;DPB2;YPR175W
BUD2 CDS;0,1067911;-0,47366209;0,010335261;BUD2;YKL092C
RPS9B CDS;0,1067911;-0,513654074;0,010341004;RPS9B;YBR189W
LEU2 CDS;0,107017643;0,386717612;0,010380964;LEU2;YCL018W
RPS24A CDS;0,108198822;-0,522170343;0,010513762;RPS24A;YER074W
RPS26A CDS;0,108235835;-0,47390267;0,010535586;RPS26A;YGL189C
CMK2 CDS;0,108676947;0,477634223;0,01059857;CMK2;YOL016C
ALG12 CDS;0,108676947;0,383654772;0,010615128;ALG12;YNR030W
hypothetical protein CDS;0,11011617;0,405894862;0,01077425;;YNL134C
SFG1 CDS;0,110790903;-0,478668726;0,010865865;SFG1;YOR315W
hypothetical protein CDS;0,110790903;-0,599581439;0,010877584;;YMR316C-A
REC114 CDS;0,111821414;-0,477596917;0,011035256;REC114;YMR133W
RPL42A CDS;0,111821414;-0,532083881;0,011009252;RPL42A;YNL162W
COX9 CDS;0,111821414;-0,563894368;0,011029787;COX9;YDL067C
TOS3 CDS;0,1119516;0,524136476;0,011127271;TOS3;YGL179C
hypothetical protein CDS;0,1119516;0,408935729;0,011104171;;YOR389W
hypothetical protein CDS;0,1119516;0,406816263;0,01114237;;YLR227W-B
MOS1 CDS;0,1119516;-0,410940248;0,011104976;MOS1;YCL057C-A
RPS10A CDS;0,1119516;-0,620591252;0,011087198;RPS10A;YOR293W
FUR1 CDS;0,112773253;-0,447125624;0,011262132;FUR1;YHR128W
hypothetical protein CDS;0,112773253;-0,53639951;0,011260366;;YOL047C
hypothetical protein CDS;0,112897916;0,447729117;0,011293594;;YGR035C
RPL16A CDS;0,113266377;-0,419219176;0,011349528;RPL16A;YIL133C
MRC1 CDS;0,113681464;-0,412520406;0,011410265;MRC1;YCL061C
hypothetical protein CDS;0,11470494;-0,464757458;0,011532309;;YLR162W
HBN1 CDS;0,116152724;-0,51563468;0,011697428;HBN1;YCL026C-B
PTK1 CDS;0,11651254;0,475786514;0,011753286;PTK1;YKL198C
QCR7 CDS;0,116624627;-0,521630072;0,011784233;QCR7;YDR529C
hypothetical protein CDS;0,116854634;0,382877648;0,011846832;;YOL103W-B
RPS9A CDS;0,116854634;-0,549872766;0,01182997;RPS9A;YPL081W
SUE1 CDS;0,116948995;-0,420885506;0,011908276;SUE1;YPR151C
BAR1 CDS;0,116948995;-0,422040559;0,011904831;BAR1;YIL015W
RPS15 CDS;0,116948995;-0,437808243;0,011915484;RPS15;YOL040C
ELA1 CDS;0,117118087;0,430058627;0,011991569;ELA1;YNL230C
RPL40B CDS;0,117118087;-0,509434238;0,011964103;RPL40B;YKR094C
TIM10 CDS;0,117118087;-0,608329013;0,011991882;TIM10;YHR005C-A
hypothetical protein CDS;0,117193733;0,436360887;0,0120391;;YJR146W
ADK1 CDS;0,117193733;-0,450715563;0,012034265;ADK1;YDR226W
NBP1 CDS;0,117525366;0,441738404;0,01209296;NBP1;YLR457C
GEX2 CDS;0,117792799;-0,413956851;0,012160153;GEX2;YKR106W
TIM11 CDS;0,117792799;-0,593565496;0,012142775;TIM11;YDR322C-A
MUP1 CDS;0,118282106;-0,385173042;0,012250504;MUP1;YGR055W
PTR2 CDS;0,118282106;-0,441395678;0,012245885;PTR2;YKR093W
RPL20B CDS;0,118555153;-0,530122839;0,012298749;RPL20B;YOR312C
MDJ1 CDS;0,118637661;0,400237964;0,01232789;MDJ1;YFL016C
RPL11A CDS;0,118637661;-0,543446495;0,012347268;RPL11A;YPR102C
RBA50 CDS;0,119137893;-0,385990296;0,012419393;RBA50;YDR527W
BNA1 CDS;0,119337503;-0,464368802;0,012460298;BNA1;YJR025C
CYB5 CDS;0,120000883;-0,519802265;0,012549772;CYB5;YNL111C
hypothetical protein CDS;0,120291566;-0,486024357;0,01260043;;YHR213W-B
PDB1 CDS;0,120560793;-0,394594005;0,012649345;PDB1;YBR221C
RPL31A CDS;0,120560793;-0,475013296;0,012669238;RPL31A;YDL075W
hypothetical protein CDS;0,120599711;-0,537883141;0,012693638;;YLR050C
SUB1 CDS;0,120648744;0,380647836;0,012719117;SUB1;YMR039C
AIM44 CDS;0,121575115;0,469212066;0,012837251;AIM44;YPL158C
ERG25 CDS;0,12173067;0,528683165;0,012874177;ERG25;YGR060W
THI7 CDS;0,12191684;0,438225305;0,012934929;THI7;YLR237W
YPS5 CDS;0,12191684;-0,556974859;0,01293372;YPS5;YGL259W
hypothetical protein CDS;0,122055211;0,453929614;0,012970165;;YPR153W
hypothetical protein CDS;0,122169415;0,497483594;0,013002875;;YLR159W
hypothetical protein CDS;0,122471713;-0,44336204;0,013055674;;YNR021W
hypothetical protein CDS;0,122854173;-0,391556655;0,013117135;;YDL086W
RPP1B CDS;0,122888548;-0,451585211;0,0131415;RPP1B;YDL130W
AIM46 CDS;0,123289804;0,407816984;0,013205173;AIM46;YHR199C
hypothetical protein CDS;0,123381184;0,386737166;0,013280211;;YLR256W-A
MIC17 CDS;0,123381184;-0,435850195;0,013242441;MIC17;YMR002W
COA2 CDS;0,123381184;-0,549665967;0,013289032;COA2;YPL189C-A
RPL39 CDS;0,123381184;-0,617150426;0,013298073;RPL39;YJL189W
IRC4 CDS;0,123456809;0,47312651;0,013327015;IRC4;YDR540C
hypothetical protein CDS;0,123942755;0,445400361;0,013442091;;YGR109W-A
RPL17B CDS;0,123942755;-0,424098028;0,013425222;RPL17B;YJL177W
RPS10B CDS;0,123942755;-0,565097111;0,013441111;RPS10B;YMR230W
RPS3 CDS;0,12415977;-0,506247149;0,013486536;RPS3;YNL178W
MPT5 CDS;0,125561913;0,420516623;0,013659986;MPT5;YGL178W
FRD1 CDS;0,126717135;-0,396459279;0,013807003;FRD1;YEL047C
IST2 CDS;0,126954749;-0,386569396;0,013854274;IST2;YBR086C
hypothetical protein CDS;0,127830414;-0,497529982;0,013971361;;YOR342C
PRS4 CDS;0,128264635;-0,486408874;0,01404042;PRS4;YBL068W
SPO12 CDS;0,128382739;-0,391531126;0,014074968;SPO12;YHR152W
SPO23 CDS;0,129553464;0,403474611;0,014268771;SPO23;YBR250W
RPS23A CDS;0,129553464;-0,558283378;0,014263799;RPS23A;YGR118W
RPS17A CDS;0,129553464;-0,562322336;0,01424604;RPS17A;YML024W
hypothetical protein CDS;0,129697184;0,412169173;0,014332754;;YNL034W
TDA5 CDS;0,129697184;0,376157865;0,014350126;TDA5;YLR426W
RPL37A CDS;0,129697184;-0,491423197;0,014308077;RPL37A;YLR185W
FEN1 CDS;0,130279256;-0,505241003;0,014436469;FEN1;YCR034W
BNA4 CDS;0,130477463;-0,485250586;0,014480406;BNA4;YBL098W
RPL6B CDS;0,131690032;-0,519744843;0,014637154;RPL6B;YLR448W
RPL33A CDS;0,132270696;-0,510516091;0,014723969;RPL33A;YPL143W
UTH1 CDS;0,13292562;-0,458037249;0,014822363;UTH1;YKR042W
RPL35A CDS;0,13292562;-0,539613045;0,014841645;RPL35A;YDL191W
FBA1 CDS;0,133045656;0,409909465;0,014877453;FBA1;YKL060C
RPS23B CDS;0,133180635;-0,555424263;0,014914975;RPS23B;YPR132W
KIN28 CDS;0,133282851;0,390835999;0,014971314;KIN28;YDL108W
RPS19A CDS;0,133282851;-0,526081629;0,014960324;RPS19A;YOL121C
hypothetical protein CDS;0,133367676;0,385251196;0,015003302;;YLR157C-A
CLP1 CDS;0,134690701;0,389858686;0,01517482;CLP1;YOR250C
RPL17A CDS;0,135450558;-0,413096399;0,015283239;RPL17A;YKL180W
hypothetical protein CDS;0,135515672;0,407974086;0,015313408;;YKL133C
RPL6A CDS;0,135995883;-0,481907179;0,015390575;RPL6A;YML073C
YCT1 CDS;0,13739203;0,394009564;0,015571714;YCT1;YLL055W
RPL13B CDS;0,137713702;-0,39640237;0,015631363;RPL13B;YMR142C
hypothetical protein CDS;0,138542035;0,437860719;0,015834581;;YCL001W-A
MET6 CDS;0,138542035;0,43655022;0,015772363;MET6;YER091C
hypothetical protein CDS;0,138542035;0,42453388;0,015817468;;YDR210W-A
MIR1 CDS;0,138542035;-0,47402812;0,015865373;MIR1;YJR077C
CLU1 CDS;0,138542035;-0,474816294;0,015854133;CLU1;YMR012W
RPL40A CDS;0,138542035;-0,5598411;0,015773727;RPL40A;YIL148W
PIN2 CDS;0,139106602;0,361401706;0,015953452;PIN2;YOR104W
GRE1 CDS;0,139370587;-0,531846583;0,016007198;GRE1;YPL223C
CUE4 CDS;0,141204442;-0,365469398;0,016241602;CUE4;YML101C
OCH1 CDS;0,141260866;-0,383502992;0,016291631;OCH1;YGL038C
ERR3 CDS;0,141260866;-0,430978896;0,016295671;ERR3;YMR323W
MCH5 CDS;0,142159653;0,481715313;0,016423294;MCH5;YOR306C
BIO5 CDS;0,14262585;0,399276981;0,016525191;BIO5;YNR056C
RHR2 CDS;0,14262585;-0,406852309;0,01651804;RHR2;YIL053W
GTT1 CDS;0,143394773;-0,483411627;0,01663843;GTT1;YIR038C
MSH2 CDS;0,144589322;-0,486110527;0,016801386;MSH2;YOL090W
ASA1 CDS;0,144786372;0,390648651;0,016858413;ASA1;YPR085C
hypothetical protein CDS;0,144786372;-0,439137591;0,01687305;;YDL241W
BBP1 CDS;0,146384399;-0,389893745;0,017083932;BBP1;YPL255W
YBT1 CDS;0,146886985;-0,351673279;0,017167324;YBT1;YLL048C
ERG4 CDS;0,147797945;-0,516591393;0,017298682;ERG4;YGL012W
RPS12 CDS;0,147834678;-0,577033712;0,017327877;RPS12;YOR369C
hypothetical protein CDS;0,147868132;0,543340571;0,017381603;;YLR466C-B
hypothetical protein CDS;0,147868132;-0,535084161;0,017377155;;YHR213W-A
hypothetical protein CDS;0,149353047;0,36967489;0,017581303;;YMR111C
MCM22 CDS;0,149624505;0,398667168;0,017638456;MCM22;YJR135C
COS5 CDS;0,149748483;0,411240041;0,017703509;COS5;YJR161C
RPS7A CDS;0,149748483;-0,560029407;0,017690992;RPS7A;YOR096W
TEC1 CDS;0,150596253;-0,367706482;0,017879818;TEC1;YBR083W
RPS0B CDS;0,150596253;-0,434982119;0,017865632;RPS0B;YLR048W
MSH6 CDS;0,150596253;-0,461299805;0,017834573;MSH6;YDR097C
hypothetical protein CDS;0,150764491;0,419575946;0,017950572;;YDL114W
RPL34B CDS;0,150764491;-0,446548303;0,017930721;RPL34B;YIL052C
RPS19B CDS;0,152278299;-0,481885326;0,018156456;RPS19B;YNL302C
RIT1 CDS;0,1535037;0,385666356;0,018328414;RIT1;YMR283C
SCS22 CDS;0,153661509;0,362999295;0,018378168;SCS22;YBL091C-A
GRC3 CDS;0,153661509;0,36210248;0,018497578;GRC3;YLL035W
POM33 CDS;0,153661509;-0,367644744;0,018494246;POM33;YLL023C
ERG10 CDS;0,153661509;-0,370616387;0,018473185;ERG10;YPL028W
PRI2 CDS;0,153661509;-0,413800478;0,018439159;PRI2;YKL045W
URA7 CDS;0,153661509;-0,487224537;0,018502523;URA7;YBL039C
ROG3 CDS;0,154310902;0,401045366;0,018606704;ROG3;YFR022W
SPG4 CDS;0,154672091;0,497873505;0,018676303;SPG4;YMR107W
SSU72 CDS;0,156492458;-0,521870749;0,018922463;SSU72;YNL222W
DSE4 CDS;0,156516883;-0,488434667;0,018951775;DSE4;YNR067C
TPI1 CDS;0,156558521;0,399296604;0,019000125;TPI1;YDR050C
RHO2 CDS;0,156558521;-0,491439095;0,019009548;RHO2;YNL090W
GAP1 CDS;0,156559199;0,362058997;0,019088727;GAP1;YKR039W
RPL41B CDS;0,156559199;-0,554774736;0,019070543;RPL41B;YDL133C-A
YSY6 CDS;0,156559199;-0,562081305;0,019042465;YSY6;YBR162W-A
WSC4 CDS;0,157426578;0,396057021;0,019220995;WSC4;YHL028W
GPI19 CDS;0,157448549;0,389714901;0,019276708;GPI19;YDR437W
LAG1 CDS;0,157448549;-0,465882241;0,019255784;LAG1;YHL003C
hypothetical protein CDS;0,157482906;0,377587718;0,019329206;;YER137C-A
RPL2B CDS;0,157482906;-0,453601659;0,019333957;RPL2B;YIL018W
ALE1 CDS;0,157522433;0,366180075;0,019365338;ALE1;YOR175C
